service,day_of_week,day_name,hour,trips,revenue,tipped_trips,tip_observable_trips,tip_observable_tip,tip_observable_fare
yellow,1,Monday,11,67099,1978233.83,43122,46563,207059.73,1020486.0
yellow,1,Monday,12,72463,2123485.78,46725,50479,224054.72,1097663.08
yellow,1,Monday,13,73426,2180075.13,47072,50888,227864.11,1121461.09
yellow,1,Monday,14,78052,2345712.46,50199,54148,247195.82,1211440.08
yellow,1,Monday,15,85327,2627571.46,54838,59250,276985.3,1364228.56
yellow,1,Monday,16,95004,3082007.46,61061,66044,317367.29,1557327.74
yellow,1,Monday,17,113291,3720830.99,72781,78774,382800.13,1885481.76
yellow,1,Monday,18,116481,3734780.59,75025,81030,383624.61,1884317.24
yellow,1,Monday,19,102670,3127930.06,65964,71368,317689.25,1562146.3
yellow,1,Monday,20,87218,2484619.79,55879,60389,252734.83,1244029.6
yellow,1,Monday,21,74769,2030509.32,48411,52221,206532.64,1012518.04
yellow,1,Monday,22,61018,1595018.44,39087,42281,158959.16,782145.0
yellow,1,Monday,23,43294,1110443.6,27956,30185,111502.32,546817.09
yellow,2,Tuesday,0,31560,795008.09,20234,21914,78513.26,387383.68
yellow,2,Tuesday,1,20034,500256.15,12932,13990,49889.01,243780.71
yellow,2,Tuesday,2,13421,331051.31,8628,9299,32553.27,160498.92
yellow,2,Tuesday,3,9989,243089.34,6412,6955,24141.93,118012.86
yellow,2,Tuesday,4,9322,228051.35,6030,6520,22545.43,111015.48
yellow,2,Tuesday,5,15090,372686.29,9648,10455,36810.01,180007.08
yellow,2,Tuesday,6,35460,900704.39,22858,24667,92196.19,451138.64
yellow,2,Tuesday,7,65648,1805543.33,42308,45794,187266.07,922462.17
yellow,2,Tuesday,8,88530,2637475.52,57055,61649,277508.23,1361011.97
yellow,2,Tuesday,9,83376,2527832.34,53565,57880,266657.54,1307226.43
yellow,2,Tuesday,10,71769,2156819.07,46134,49794,226754.6,1113907.75
yellow,2,Tuesday,11,73559,2176016.61,47247,51194,228750.56,1127715.02
yellow,2,Tuesday,12,79664,2338481.64,51171,55289,244810.89,1203054.46
yellow,2,Tuesday,13,80541,2384812.52,51807,55990,250556.73,1229439.16
yellow,2,Tuesday,14,84897,2558390.82,54452,58923,268686.32,1323853.44
yellow,2,Tuesday,15,93519,2882512.15,60109,64997,305733.85,1496889.24
yellow,2,Tuesday,16,103973,3377290.12,67075,72449,348783.71,1713803.94
yellow,2,Tuesday,17,123771,4078000.78,79753,86132,421372.8,2066996.0
yellow,2,Tuesday,18,126671,4068011.07,81518,88178,417926.25,2050370.26
yellow,2,Tuesday,19,112284,3432224.76,72306,78159,348228.51,1714597.53
yellow,2,Tuesday,20,95292,2712768.97,61369,66301,276454.23,1360799.65
yellow,2,Tuesday,21,81542,2217416.82,52379,56767,223230.35,1102328.73
yellow,2,Tuesday,22,67240,1756505.24,43075,46541,174850.92,859123.07
yellow,2,Tuesday,23,46798,1197443.85,30080,32562,118885.21,585270.2
yellow,3,Wednesday,0,33300,842327.72,21513,23257,84231.33,413492.39
yellow,3,Wednesday,1,21070,523258.87,13633,14711,52299.19,255505.73
yellow,3,Wednesday,2,14092,345050.62,9012,9777,33707.13,166435.17
yellow,3,Wednesday,3,10736,264117.29,6970,7500,26407.11,128188.35
yellow,3,Wednesday,4,9499,234822.01,6138,6597,23338.36,114028.33
yellow,3,Wednesday,5,15935,391921.37,10164,11003,38350.49,188791.44
yellow,3,Wednesday,6,37090,944449.2,23829,25851,96229.05,474778.71
yellow,3,Wednesday,7,68783,1889036.57,44139,47779,195738.39,959483.72
yellow,3,Wednesday,8,93327,2767120.34,60138,65124,291540.57,1433718.18
yellow,3,Wednesday,9,87816,2661811.55,56358,60935,280190.42,1375381.48
yellow,3,Wednesday,10,76107,2265960.04,48948,52973,238766.41,1173441.16
yellow,3,Wednesday,11,77386,2280063.92,49708,53671,239123.53,1173148.04
yellow,3,Wednesday,12,83451,2455234.27,53431,57731,255756.57,1258573.78
yellow,3,Wednesday,13,84535,2491996.3,54455,58856,260772.45,1284454.93
yellow,3,Wednesday,14,90031,2710835.25,57769,62499,283836.22,1401555.37
yellow,3,Wednesday,15,99198,3067870.46,63857,68979,324282.84,1592450.05
yellow,3,Wednesday,16,109110,3547273.24,70224,75935,366301.68,1800182.88
yellow,3,Wednesday,17,130577,4299012.94,83779,90689,442625.45,2179251.86
yellow,3,Wednesday,18,133683,4301874.82,85827,92902,440777.03,2175274.46
yellow,3,Wednesday,19,118506,3605119.35,76156,82296,365987.78,1793504.76
yellow,3,Wednesday,20,100860,2871927.8,64776,69932,293033.48,1437992.81
yellow,3,Wednesday,21,86180,2334705.14,55283,59756,234967.72,1155978.39
yellow,3,Wednesday,22,70398,1841559.49,45283,48955,184173.78,904774.62
yellow,3,Wednesday,23,49519,1270097.83,31814,34399,126529.75,621354.7
yellow,4,Thursday,0,35781,899124.83,22881,24826,88964.75,437695.23
yellow,4,Thursday,1,22761,563045.51,14608,15815,55152.53,273641.87
yellow,4,Thursday,2,15169,376469.46,9783,10543,37243.74,182363.53
yellow,4,Thursday,3,11330,278404.1,7218,7830,27158.1,134114.1
yellow,4,Thursday,4,10238,251121.19,6560,7089,24782.99,121187.88
yellow,4,Thursday,5,16935,419911.52,10944,11783,41825.63,204295.64
yellow,4,Thursday,6,39721,1012054.45,25716,27793,103829.91,510208.98
yellow,4,Thursday,7,74098,2044725.42,47789,51628,211980.31,1045628.23
yellow,4,Thursday,8,99866,2974968.97,64400,69589,313295.8,1537995.03
yellow,4,Thursday,9,94103,2856910.76,60479,65476,301108.42,1483341.1
yellow,4,Thursday,10,80511,2405922.01,52016,56188,253385.7,1244635.92
yellow,4,Thursday,11,82640,2435748.49,53161,57390,255792.13,1253117.84
yellow,4,Thursday,12,89821,2643924.6,57947,62456,278097.37,1364091.33
yellow,4,Thursday,13,90213,2667741.85,57958,62715,279568.24,1377037.1
yellow,4,Thursday,14,96033,2881749.27,61380,66404,302455.89,1485204.73
yellow,4,Thursday,15,105517,3257819.69,67504,73061,343213.11,1688008.19
yellow,4,Thursday,16,117372,3811687.53,75476,81561,392441.72,1924040.07
yellow,4,Thursday,17,138610,4554111.15,88979,96305,469185.71,2303522.01
yellow,4,Thursday,18,143290,4595959.37,91964,99424,469168.21,2303536.63
yellow,4,Thursday,19,126562,3856387.02,81660,88235,392048.05,1927248.99
yellow,4,Thursday,20,107821,3062350.16,68998,74646,309634.62,1526576.08
yellow,4,Thursday,21,92556,2509795.73,59469,64293,253013.31,1244743.95
yellow,4,Thursday,22,75407,1967607.26,48635,52642,197318.02,971552.56
yellow,4,Thursday,23,52863,1357834.95,34106,36872,135573.69,667092.43
yellow,5,Friday,0,40718,1031687.54,26303,28408,102976.43,506092.39
yellow,5,Friday,1,25690,642395.18,16553,17893,63779.41,313428.06
yellow,5,Friday,2,17431,425983.98,11268,12179,41913.84,206947.11
yellow,5,Friday,3,12914,315808.77,8269,8919,30680.02,151212.85
yellow,5,Friday,4,11768,288258.26,7453,8088,28115.85,138780.03
yellow,5,Friday,5,19363,480637.42,12465,13506,47594.5,234320.41
yellow,5,Friday,6,45333,1150994.74,29059,31465,116557.5,574367.99
yellow,5,Friday,7,83870,2315383.14,53817,58221,239847.94,1176861.49
yellow,5,Friday,8,113779,3377675.05,73192,79137,355416.22,1746207.35
yellow,5,Friday,9,107180,3236365.77,68800,74323,341592.25,1674887.15
yellow,5,Friday,10,92738,2777195.93,59859,64682,293012.67,1440719.79
yellow,5,Friday,11,94594,2792429.15,60998,65857,294375.5,1443648.61
yellow,5,Friday,12,101948,3000495.26,65636,70963,314861.68,1545881.42
yellow,5,Friday,13,102999,3053007.38,66435,71687,322874.36,1580077.08
yellow,5,Friday,14,109436,3301072.5,70444,76184,348652.74,1712880.87
yellow,5,Friday,15,119833,3690005.05,77048,83270,389903.68,1916908.03
yellow,5,Friday,16,133589,4338716.62,85725,92768,445166.44,2191664.27
yellow,5,Friday,17,158422,5213072.08,101868,110203,536923.43,2641942.13
yellow,5,Friday,18,163335,5236712.76,104990,113508,537876.03,2638322.88
yellow,5,Friday,19,144198,4392169.6,92336,100086,444231.94,2190906.12
yellow,5,Friday,20,122033,3478747.67,78558,84931,356701.26,1751338.32
yellow,5,Friday,21,105081,2861928.4,67218,72742,288323.03,1416477.13
yellow,5,Friday,22,86497,2253207.53,55442,59958,224631.41,1106120.3
yellow,5,Friday,23,59800,1528807.57,38470,41587,152561.52,749830.76
yellow,6,Saturday,0,124807,3134857.47,80448,86848,312602.12,1531362.7
yellow,6,Saturday,1,110221,2734505.39,70862,76535,270595.68,1326823.64
yellow,6,Saturday,2,90796,2241456.7,58364,63078,220954.08,1085856.73
yellow,6,Saturday,3,65715,1613927.64,42091,45491,158858.77,779356.29
yellow,6,Saturday,4,42306,1037955.1,27055,29347,102050.57,502776.92
yellow,6,Saturday,5,27540,680041.42,17731,19156,66979.91,330865.76
yellow,6,Saturday,6,23339,597314.57,15057,16271,61395.23,300277.9
yellow,6,Saturday,7,29752,817586.86,19078,20601,84920.83,415445.61
yellow,6,Saturday,8,42354,1256949.25,27310,29503,132491.54,652386.34
yellow,6,Saturday,9,61306,1857239.65,39245,42393,194930.2,958525.34
yellow,6,Saturday,10,80709,2415952.72,51996,56150,255143.43,1249141.26
yellow,6,Saturday,11,96630,2855420.65,62408,67347,300825.39,1473874.19
yellow,6,Saturday,12,108329,3183802.03,69729,75361,333171.79,1642940.81
yellow,6,Saturday,13,111620,3308162.81,71833,77659,348000.68,1713774.98
yellow,6,Saturday,14,114239,3445879.38,73389,79316,363876.36,1787308.68
yellow,6,Saturday,15,116880,3615071.12,75187,81196,383064.52,1878814.27
yellow,6,Saturday,16,118221,3726589.38,76029,82132,395939.71,1946668.63
yellow,6,Saturday,17,124750,3976583.26,80431,86985,424209.94,2082990.19
yellow,6,Saturday,18,127068,3948830.87,81808,88466,418969.44,2062562.95
yellow,6,Saturday,19,122603,3617050.67,78724,85120,379118.0,1861407.57
yellow,6,Saturday,20,116402,3309489.53,74868,80945,338289.49,1660341.46
yellow,6,Saturday,21,114132,3097119.61,73216,79300,312231.28,1538481.13
yellow,6,Saturday,22,118096,3098152.01,75829,82014,310682.77,1522621.73
yellow,6,Saturday,23,127099,3242218.42,81577,88231,322142.6,1580757.25
